,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
629,MIN,MIN @ CLE,02/28/2022,,W,240,127,47,86,54.7,18,42,42.9,15,19,78.9,8,23,31,30,12,6,13,31,5
630,IND,IND @ ORL,02/28/2022,,L,240,103,35,72,48.6,15,36,41.7,18,25,72.0,4,35,39,22,4,6,22,18,-16
631,ORL,ORL vs. IND,02/28/2022,,W,240,119,45,96,46.9,12,37,32.4,17,22,77.3,10,29,39,29,10,2,11,19,16
632,IND,IND vs. BOS,02/27/2022,,W,240,128,47,90,52.2,17,33,51.5,17,20,85.0,10,39,49,25,7,5,14,23,21
633,BOS,BOS @ IND,02/27/2022,,L,240,107,39,91,42.9,12,43,27.9,17,20,85.0,12,28,40,25,5,9,10,13,-21
634,UTA,UTA @ PHX,02/27/2022,,W,240,118,44,94,46.8,17,40,42.5,13,20,65.0,14,27,41,23,7,6,10,16,4
635,PHX,PHX vs. UTA,02/27/2022,,L,240,114,44,86,51.2,13,28,46.4,13,16,81.3,10,26,36,24,7,5,9,19,-4
636,NYK,NYK vs. PHI,02/27/2022,,L,240,109,38,85,44.7,11,33,33.3,22,35,62.9,12,35,47,21,6,2,18,24,-16
637,PHI,PHI @ NYK,02/27/2022,,W,240,125,38,78,48.7,10,33,30.3,39,44,88.6,5,38,43,28,13,5,10,26,16
638,NOP,NOP @ LAL,02/27/2022,,W,240,123,47,92,51.1,13,30,43.3,16,25,64.0,12,39,51,29,16,3,15,19,28
639,LAL,LAL vs. NOP,02/27/2022,,L,240,95,35,84,41.7,7,34,20.6,18,20,90.0,7,31,38,15,8,7,23,18,-28
640,DEN,DEN @ POR,02/27/2022,,W,240,124,44,86,51.2,12,37,32.4,24,31,77.4,8,47,55,28,9,5,15,20,32
641,POR,POR vs. DEN,02/27/2022,,L,240,92,34,91,37.4,6,36,16.7,18,26,69.2,11,31,42,22,12,3,15,25,-32
642,HOU,HOU vs. LAC,02/27/2022,,L,240,98,35,92,38.0,17,42,40.5,11,18,61.1,6,31,37,26,8,0,7,21,-1
643,LAC,LAC @ HOU,02/27/2022,,W,240,99,34,77,44.2,11,34,32.4,20,28,71.4,10,49,59,18,4,12,18,22,1
644,DAL,DAL @ GSW,02/27/2022,,W,240,107,39,78,50.0,13,34,38.2,16,20,80.0,6,39,45,16,5,7,18,18,6
645,GSW,GSW vs. DAL,02/27/2022,,L,240,101,39,91,42.9,11,39,28.2,12,20,60.0,12,32,44,27,15,2,11,23,-6
646,DET,DET @ CHA,02/27/2022,,W,265,127,50,110,45.5,14,40,35.0,13,18,72.2,22,32,54,30,10,3,15,29,1
647,CHA,CHA vs. DET,02/27/2022,,L,265,126,45,89,50.6,13,31,41.9,23,34,67.6,12,34,46,25,8,8,17,19,-1
648,DEN,DEN vs. SAC,02/26/2022,,W,240,115,38,82,46.3,16,43,37.2,23,29,79.3,4,41,45,29,5,2,15,25,5
649,SAC,SAC @ DEN,02/26/2022,,L,240,110,38,89,42.7,9,30,30.0,25,33,75.8,9,36,45,24,4,3,13,25,-5
650,MIL,MIL vs. BKN,02/26/2022,,L,240,123,41,78,52.6,16,38,42.1,25,38,65.8,4,39,43,24,4,0,15,26,-3
651,BKN,BKN @ MIL,02/26/2022,,W,240,126,44,92,47.8,13,34,38.2,25,33,75.8,12,28,40,24,7,5,9,24,3
652,MEM,MEM @ CHI,02/26/2022,,W,240,116,44,100,44.0,7,23,30.4,21,26,80.8,19,42,61,23,5,10,14,24,6
653,CHI,CHI vs. MEM,02/26/2022,,L,240,110,39,93,41.9,9,20,45.0,23,30,76.7,6,35,41,17,9,3,10,17,-6
654,SAS,SAS @ MIA,02/26/2022,,L,240,129,50,90,55.6,14,31,45.2,15,19,78.9,12,34,46,33,5,1,22,31,-4
655,MIA,MIA vs. SAS,02/26/2022,,W,240,133,47,83,56.6,12,28,42.9,27,38,71.1,4,28,32,25,8,3,12,20,4
656,WAS,WAS @ CLE,02/26/2022,,L,240,86,35,81,43.2,11,23,47.8,5,6,83.3,7,35,42,19,8,7,18,24,-6
657,CLE,CLE vs. WAS,02/26/2022,,W,240,92,32,83,38.6,8,25,32.0,20,24,83.3,13,36,49,22,9,5,14,10,6
658,TOR,TOR @ ATL,02/26/2022,,L,240,100,38,95,40.0,10,32,31.3,14,19,73.7,11,31,42,25,5,2,13,26,-27
659,ATL,ATL vs. TOR,02/26/2022,,W,240,127,48,83,57.8,13,31,41.9,18,22,81.8,5,40,45,27,8,8,12,19,27
660,BOS,BOS @ DET,02/26/2022,,W,240,113,42,88,47.7,10,26,38.5,19,21,90.5,10,27,37,31,5,6,10,21,9
661,DET,DET vs. BOS,02/26/2022,,L,240,104,39,87,44.8,7,27,25.9,19,22,86.4,10,31,41,18,4,4,14,22,-9
662,OKC,OKC @ IND,02/25/2022,,W,265,129,50,101,49.5,11,31,35.5,18,24,75.0,11,43,54,23,8,3,11,19,4
663,IND,IND vs. OKC,02/25/2022,,L,265,125,49,101,48.5,14,37,37.8,13,22,59.1,12,39,51,31,8,11,14,19,-4
664,LAC,LAC @ LAL,02/25/2022,,W,240,105,41,83,49.4,10,26,38.5,13,19,68.4,7,40,47,25,8,8,17,19,3
665,LAL,LAL vs. LAC,02/25/2022,,L,240,102,39,93,41.9,8,31,25.8,16,21,76.2,13,34,47,18,8,7,12,17,-3
666,NOP,NOP @ PHX,02/25/2022,,W,240,117,38,87,43.7,8,29,27.6,33,41,80.5,16,37,53,21,10,4,11,18,15
667,PHX,PHX vs. NOP,02/25/2022,,L,240,102,36,82,43.9,12,40,30.0,18,24,75.0,7,30,37,23,6,8,14,27,-15
668,UTA,UTA vs. DAL,02/25/2022,,W,240,114,40,74,54.1,16,38,42.1,18,22,81.8,9,35,44,22,9,4,18,14,5
669,DAL,DAL @ UTA,02/25/2022,,L,240,109,42,88,47.7,17,39,43.6,8,8,100.0,8,22,30,22,9,3,12,21,-5
670,MIN,MIN vs. PHI,02/25/2022,,L,240,102,36,86,41.9,9,39,23.1,21,25,84.0,9,32,41,23,4,1,16,27,-31
671,PHI,PHI @ MIN,02/25/2022,,W,240,133,42,82,51.2,19,39,48.7,30,36,83.3,6,36,42,30,10,0,12,23,31
672,NYK,NYK vs. MIA,02/25/2022,,L,240,100,30,75,40.0,14,40,35.0,26,36,72.2,5,40,45,19,4,1,18,30,-15
673,MIA,MIA @ NYK,02/25/2022,,W,240,115,39,83,47.0,11,32,34.4,26,35,74.3,4,40,44,22,13,5,10,28,15
674,SAS,SAS @ WAS,02/25/2022,,W,290,157,57,105,54.3,9,29,31.0,34,43,79.1,16,34,50,35,6,3,17,22,4
675,WAS,WAS vs. SAS,02/25/2022,,L,290,153,59,108,54.6,16,38,42.1,19,24,79.2,11,28,39,36,10,5,16,29,-4
676,HOU,HOU @ ORL,02/25/2022,,L,240,111,44,94,46.8,14,47,29.8,9,20,45.0,10,31,41,22,12,3,13,24,-8
677,ORL,ORL vs. HOU,02/25/2022,,W,240,119,42,83,50.6,13,36,36.1,22,29,75.9,10,44,54,20,7,4,19,22,8
678,TOR,TOR @ CHA,02/25/2022,,L,240,93,37,84,44.0,6,23,26.1,13,23,56.5,10,26,36,18,6,4,17,12,-32
679,CHA,CHA vs. TOR,02/25/2022,,W,240,125,52,94,55.3,15,40,37.5,6,9,66.7,13,39,52,34,10,7,18,20,32
680,DET,DET vs. CLE,02/24/2022,,W,240,106,35,86,40.7,11,34,32.4,25,28,89.3,13,36,49,23,8,8,11,24,3
681,CLE,CLE @ DET,02/24/2022,,L,240,103,34,77,44.2,12,35,34.3,23,34,67.6,8,35,43,20,3,7,12,21,-3
682,POR,POR vs. GSW,02/24/2022,,L,240,95,31,79,39.2,9,35,25.7,24,29,82.8,6,25,31,16,5,4,18,29,-37
683,GSW,GSW @ POR,02/24/2022,,W,240,132,45,88,51.1,15,41,36.6,27,32,84.4,10,36,46,36,10,7,12,23,37
684,DEN,DEN @ SAC,02/24/2022,,W,240,128,48,86,55.8,15,35,42.9,17,20,85.0,3,36,39,30,12,4,17,24,18
685,SAC,SAC vs. DEN,02/24/2022,,L,240,110,43,86,50.0,9,29,31.0,15,18,83.3,6,28,34,25,5,8,15,17,-18
686,CHI,CHI vs. ATL,02/24/2022,,W,240,112,41,84,48.8,8,27,29.6,22,27,81.5,6,37,43,16,5,8,9,20,4
687,ATL,ATL @ CHI,02/24/2022,,L,240,108,41,97,42.3,8,28,28.6,18,27,66.7,13,32,45,20,2,3,10,18,-4
688,MIN,MIN vs. MEM,02/24/2022,,W,240,119,43,93,46.2,16,42,38.1,17,25,68.0,12,30,42,26,6,11,12,27,5
689,MEM,MEM @ MIN,02/24/2022,,L,240,114,38,98,38.8,9,31,29.0,29,40,72.5,26,33,59,25,9,7,16,21,-5
690,PHX,PHX @ OKC,02/24/2022,,W,240,124,46,86,53.5,13,34,38.2,19,21,90.5,3,40,43,32,14,6,16,12,20
691,OKC,OKC vs. PHX,02/24/2022,,L,240,104,44,93,47.3,6,31,19.4,10,11,90.9,7,35,42,22,10,4,16,19,-20
692,BOS,BOS @ BKN,02/24/2022,,W,240,129,46,85,54.1,17,42,40.5,20,27,74.1,8,40,48,28,9,3,14,20,23
693,BKN,BKN vs. BOS,02/24/2022,,L,240,106,39,94,41.5,7,29,24.1,21,28,75.0,8,30,38,25,8,4,11,16,-23
694,PHI,PHI @ MIL,02/17/2022,,W,240,123,44,88,50.0,12,34,35.3,23,27,85.2,9,37,46,21,2,2,12,23,3
695,MIL,MIL vs. PHI,02/17/2022,,L,240,120,42,95,44.2,14,44,31.8,22,28,78.6,12,32,44,20,5,1,7,22,-3
696,DAL,DAL @ NOP,02/17/2022,,W,240,125,44,82,53.7,19,40,47.5,18,25,72.0,7,31,38,18,5,4,9,22,7
697,NOP,NOP vs. DAL,02/17/2022,,L,240,118,46,92,50.0,12,28,42.9,14,21,66.7,17,31,48,22,7,0,13,18,-7
698,MIA,MIA @ CHA,02/17/2022,,W,290,111,41,102,40.2,14,48,29.2,15,23,65.2,15,41,56,31,4,5,15,23,4
699,CHA,CHA vs. MIA,02/17/2022,,L,290,107,38,95,40.0,10,42,23.8,21,30,70.0,17,41,58,27,6,4,18,28,-4
700,WAS,WAS @ BKN,02/17/2022,,W,240,117,46,83,55.4,12,24,50.0,13,16,81.3,8,30,38,26,10,7,16,21,14
701,BKN,BKN vs. WAS,02/17/2022,,L,240,103,36,89,40.4,14,38,36.8,17,24,70.8,15,27,42,19,6,5,16,20,-14
702,LAC,LAC vs. HOU,02/17/2022,,W,240,142,51,92,55.4,18,35,51.4,22,26,84.6,12,38,50,34,12,5,18,16,31
703,HOU,HOU @ LAC,02/17/2022,,L,240,111,42,91,46.2,13,37,35.1,14,19,73.7,12,23,35,29,8,2,19,20,-31
704,DEN,DEN @ GSW,02/16/2022,,W,240,117,43,91,47.3,14,36,38.9,17,21,81.0,12,36,48,27,5,1,19,18,1
705,GSW,GSW vs. DEN,02/16/2022,,L,240,116,45,87,51.7,10,34,29.4,16,24,66.7,8,29,37,26,13,5,11,21,-1
706,PHX,PHX vs. HOU,02/16/2022,,W,240,124,44,86,51.2,7,24,29.2,29,36,80.6,7,35,42,27,10,7,11,20,3
707,HOU,HOU @ PHX,02/16/2022,,L,240,121,42,97,43.3,13,44,29.5,24,28,85.7,13,36,49,23,5,5,16,27,-3
708,SAC,SAC @ CHI,02/16/2022,,L,240,118,43,84,51.2,12,30,40.0,20,22,90.9,7,29,36,24,9,3,13,14,-7
709,CHI,CHI vs. SAC,02/16/2022,,W,240,125,47,94,50.0,12,29,41.4,19,20,95.0,13,34,47,25,8,2,13,16,7
710,TOR,TOR @ MIN,02/16/2022,,W,240,103,40,88,45.5,8,25,32.0,15,19,78.9,9,39,48,21,7,6,13,21,12
711,MIN,MIN vs. TOR,02/16/2022,,L,240,91,30,77,39.0,10,42,23.8,21,29,72.4,6,36,42,23,6,7,17,18,-12
712,SAS,SAS @ OKC,02/16/2022,,W,240,114,43,98,43.9,10,34,29.4,18,22,81.8,14,43,57,29,3,7,14,15,8
713,OKC,OKC vs. SAS,02/16/2022,,L,240,106,41,105,39.0,11,32,34.4,13,19,68.4,15,35,50,25,6,6,8,19,-8
714,BKN,BKN @ NYK,02/16/2022,,W,240,111,43,98,43.9,11,34,32.4,14,23,60.9,16,35,51,21,5,1,9,16,5
715,NYK,NYK vs. BKN,02/16/2022,,L,240,106,37,85,43.5,16,43,37.2,16,18,88.9,10,34,44,22,7,9,10,17,-5
716,IND,IND vs. WAS,02/16/2022,,W,240,113,45,83,54.2,4,20,20.0,19,29,65.5,7,33,40,30,9,6,11,14,5
717,WAS,WAS @ IND,02/16/2022,,L,240,108,39,91,42.9,17,37,45.9,13,16,81.3,12,32,44,25,7,3,13,20,-5
718,BOS,BOS vs. DET,02/16/2022,,L,240,111,42,77,54.5,13,32,40.6,14,18,77.8,2,28,30,29,8,6,17,14,-1
719,DET,DET @ BOS,02/16/2022,,W,240,112,43,93,46.2,16,30,53.3,10,13,76.9,18,29,47,28,9,1,17,17,1
720,ATL,ATL @ ORL,02/16/2022,,W,240,130,45,90,50.0,18,33,54.5,22,28,78.6,13,34,47,23,7,6,11,20,21
721,ORL,ORL vs. ATL,02/16/2022,,L,240,109,42,98,42.9,13,41,31.7,12,13,92.3,12,33,45,23,3,5,13,19,-21
722,LAL,LAL vs. UTA,02/16/2022,,W,240,106,41,86,47.7,10,36,27.8,14,22,63.6,12,32,44,24,9,7,12,18,5
723,UTA,UTA @ LAL,02/16/2022,,L,240,101,37,79,46.8,11,33,33.3,16,19,84.2,8,33,41,17,11,6,13,22,-5
724,POR,POR @ MEM,02/16/2022,,W,240,123,43,85,50.6,13,32,40.6,24,32,75.0,13,30,43,23,6,5,12,27,4
725,MEM,MEM vs. POR,02/16/2022,,L,240,119,37,85,43.5,11,30,36.7,34,42,81.0,10,29,39,20,10,7,10,26,-4
726,IND,IND @ MIL,02/15/2022,,L,240,119,47,93,50.5,17,41,41.5,8,19,42.1,10,31,41,32,8,2,12,23,-9
727,MIL,MIL vs. IND,02/15/2022,,W,240,128,48,86,55.8,10,29,34.5,22,30,73.3,9,38,47,28,7,0,15,17,9
728,MEM,MEM @ NOP,02/15/2022,,W,240,121,47,94,50.0,10,34,29.4,17,27,63.0,18,31,49,29,10,3,13,24,12
729,NOP,NOP vs. MEM,02/15/2022,,L,240,109,44,88,50.0,4,26,15.4,17,20,85.0,11,23,34,20,7,5,15,23,-12
730,DAL,DAL @ MIA,02/15/2022,,W,240,107,34,76,44.7,18,41,43.9,21,33,63.6,12,26,38,27,5,7,9,26,8
731,MIA,MIA vs. DAL,02/15/2022,,L,240,99,35,84,41.7,7,27,25.9,22,27,81.5,15,33,48,19,1,2,12,23,-8
732,CLE,CLE @ ATL,02/15/2022,,L,240,116,45,88,51.1,16,41,39.0,10,12,83.3,14,25,39,30,8,3,13,23,-8
733,ATL,ATL vs. CLE,02/15/2022,,W,240,124,43,80,53.8,14,33,42.4,24,27,88.9,7,28,35,25,9,4,11,18,8
734,PHI,PHI vs. BOS,02/15/2022,,L,240,87,23,80,28.8,8,32,25.0,33,39,84.6,12,28,40,17,7,2,9,17,-48
735,BOS,BOS @ PHI,02/15/2022,,W,240,135,46,82,56.1,25,45,55.6,18,22,81.8,7,44,51,28,2,10,11,25,48
736,PHX,PHX vs. LAC,02/15/2022,,W,240,103,44,90,48.9,8,25,32.0,7,10,70.0,12,40,52,30,9,4,17,12,7
737,LAC,LAC @ PHX,02/15/2022,,L,240,96,40,97,41.2,10,35,28.6,6,9,66.7,13,33,46,26,11,9,14,12,-7
738,MIN,MIN vs. CHA,02/15/2022,,W,265,126,43,109,39.4,13,55,23.6,27,43,62.8,17,41,58,29,10,8,14,26,6
739,CHA,CHA @ MIN,02/15/2022,,L,265,120,42,102,41.2,8,33,24.2,28,37,75.7,16,46,62,31,9,7,14,30,-6
740,GSW,GSW @ LAC,02/14/2022,,L,240,104,39,86,45.3,16,41,39.0,10,13,76.9,7,31,38,23,7,3,14,18,-15
741,LAC,LAC vs. GSW,02/14/2022,,W,240,119,48,85,56.5,15,34,44.1,8,15,53.3,6,37,43,25,6,3,12,18,15
742,DEN,DEN vs. ORL,02/14/2022,,W,240,121,42,88,47.7,16,40,40.0,21,23,91.3,12,40,52,25,7,2,23,18,10
743,ORL,ORL @ DEN,02/14/2022,,L,240,111,40,91,44.0,11,39,28.2,20,23,87.0,11,31,42,24,16,5,15,19,-10
744,UTA,UTA vs. HOU,02/14/2022,,W,240,135,49,89,55.1,18,40,45.0,19,22,86.4,13,40,53,34,6,5,13,22,34
745,HOU,HOU @ UTA,02/14/2022,,L,240,101,35,83,42.2,12,37,32.4,19,28,67.9,10,23,33,23,5,4,12,20,-34
746,CHI,CHI vs. SAS,02/14/2022,,W,240,120,46,88,52.3,10,24,41.7,18,21,85.7,10,43,53,25,3,3,16,19,11
747,SAS,SAS @ CHI,02/14/2022,,L,240,109,44,92,47.8,6,20,30.0,15,21,71.4,4,29,33,28,9,2,7,15,-11
748,TOR,TOR @ NOP,02/14/2022,,L,240,90,29,95,30.5,8,34,23.5,24,31,77.4,19,25,44,8,7,3,8,14,-30
749,NOP,NOP vs. TOR,02/14/2022,,W,240,120,45,77,58.4,16,35,45.7,14,16,87.5,4,43,47,36,4,7,14,24,30
750,POR,POR @ MIL,02/14/2022,,W,240,122,45,99,45.5,18,43,41.9,14,19,73.7,14,44,58,30,8,6,14,19,15
751,MIL,MIL vs. POR,02/14/2022,,L,240,107,38,89,42.7,13,41,31.7,18,24,75.0,6,37,43,18,8,3,13,18,-15
752,OKC,OKC @ NYK,02/14/2022,,W,265,127,48,96,50.0,13,34,38.2,18,27,66.7,8,38,46,28,9,1,11,19,4
753,NYK,NYK vs. OKC,02/14/2022,,L,265,123,45,108,41.7,15,50,30.0,18,22,81.8,19,37,56,28,8,12,14,25,-4
754,BKN,BKN vs. SAC,02/14/2022,,W,240,109,43,84,51.2,9,26,34.6,14,15,93.3,6,43,49,25,7,5,18,22,24
755,SAC,SAC @ BKN,02/14/2022,,L,240,85,31,90,34.4,9,35,25.7,14,18,77.8,11,32,43,12,8,4,18,17,-24
756,WAS,WAS vs. DET,02/14/2022,,W,240,103,40,85,47.1,9,29,31.0,14,18,77.8,10,35,45,21,8,3,15,16,9
757,DET,DET @ WAS,02/14/2022,,L,240,94,32,85,37.6,8,23,34.8,22,27,81.5,13,31,44,19,7,3,12,19,-9
758,IND,IND vs. MIN,02/13/2022,,L,240,120,45,102,44.1,13,45,28.9,17,22,77.3,22,32,54,28,5,6,13,21,-9
759,MIN,MIN @ IND,02/13/2022,,W,240,129,43,84,51.2,18,34,52.9,25,28,89.3,8,30,38,23,8,8,14,25,9
760,ATL,ATL @ BOS,02/13/2022,,L,240,95,34,93,36.6,12,38,31.6,15,15,100.0,11,37,48,18,6,3,13,22,-10
761,BOS,BOS vs. ATL,02/13/2022,,W,240,105,36,85,42.4,11,38,28.9,22,27,81.5,12,42,54,21,5,6,12,15,10
762,DAL,DAL vs. LAC,02/12/2022,,L,240,97,35,85,41.2,15,39,38.5,12,19,63.2,13,31,44,16,4,0,14,17,-2
763,LAC,LAC @ DAL,02/12/2022,,W,240,99,43,82,52.4,7,22,31.8,6,11,54.5,6,36,42,23,7,4,14,20,2
764,GSW,GSW vs. LAL,02/12/2022,,W,240,117,40,90,44.4,12,38,31.6,25,34,73.5,10,40,50,24,4,3,9,24,2
765,LAL,LAL @ GSW,02/12/2022,,L,240,115,41,88,46.6,11,27,40.7,22,33,66.7,12,36,48,25,5,6,9,24,-2
766,ORL,ORL @ PHX,02/12/2022,,L,240,105,37,87,42.5,15,41,36.6,16,24,66.7,4,40,44,25,2,2,15,9,-27
767,PHX,PHX vs. ORL,02/12/2022,,W,240,132,55,105,52.4,15,34,44.1,7,10,70.0,7,45,52,40,8,2,7,19,27
768,CHI,CHI vs. OKC,02/12/2022,,W,240,106,40,89,44.9,7,25,28.0,19,23,82.6,11,46,57,20,6,3,13,19,5
769,OKC,OKC @ CHI,02/12/2022,,L,240,101,34,88,38.6,11,36,30.6,22,30,73.3,7,36,43,22,8,10,8,15,-5
770,MIA,MIA vs. BKN,02/12/2022,,W,240,115,41,82,50.0,10,29,34.5,23,29,79.3,10,42,52,20,6,1,15,21,4
771,BKN,BKN @ MIA,02/12/2022,,L,240,111,42,93,45.2,12,40,30.0,15,22,68.2,9,32,41,16,12,2,8,27,-4
772,TOR,TOR vs. DEN,02/12/2022,,L,240,109,43,88,48.9,12,34,35.3,11,17,64.7,8,27,35,22,11,1,7,19,-1
773,DEN,DEN @ TOR,02/12/2022,,W,240,110,39,84,46.4,14,37,37.8,18,21,85.7,12,38,50,28,5,3,18,16,1
774,PHI,PHI vs. CLE,02/12/2022,,W,240,103,38,79,48.1,10,22,45.5,17,21,81.0,8,32,40,24,13,5,13,21,10
775,CLE,CLE @ PHI,02/12/2022,,L,240,93,36,77,46.8,8,24,33.3,13,15,86.7,5,29,34,21,3,3,17,16,-10
776,CHA,CHA vs. MEM,02/12/2022,,L,240,118,39,97,40.2,14,45,31.1,26,33,78.8,18,35,53,28,7,6,17,29,-7
777,MEM,MEM @ CHA,02/12/2022,,W,240,125,47,96,49.0,11,33,33.3,20,33,60.6,16,41,57,31,11,8,17,26,7
778,SAC,SAC @ WAS,02/12/2022,,W,240,123,43,76,56.6,12,28,42.9,25,29,86.2,6,36,42,27,4,2,14,20,13
779,WAS,WAS vs. SAC,02/12/2022,,L,240,110,41,88,46.6,13,38,34.2,15,21,71.4,10,22,32,26,11,3,10,19,-13
780,SAS,SAS @ NOP,02/12/2022,,W,240,124,47,93,50.5,14,37,37.8,16,19,84.2,7,27,34,26,9,5,5,19,10
781,NOP,NOP vs. SAS,02/12/2022,,L,240,114,43,87,49.4,11,32,34.4,17,20,85.0,10,36,46,22,2,4,15,19,-10
782,POR,POR vs. NYK,02/12/2022,,W,240,112,40,84,47.6,15,40,37.5,17,20,85.0,9,42,51,29,3,2,17,26,9
783,NYK,NYK @ POR,02/12/2022,,L,240,103,31,81,38.3,12,39,30.8,29,34,85.3,9,32,41,19,6,6,13,24,-9
784,UTA,UTA vs. ORL,02/11/2022,,W,240,114,40,89,44.9,13,41,31.7,21,24,87.5,11,39,50,22,15,5,16,14,15
785,ORL,ORL @ UTA,02/11/2022,,L,240,99,37,84,44.0,13,35,37.1,12,16,75.0,9,31,40,23,12,5,18,15,-15
786,MIN,MIN @ CHI,02/11/2022,,L,240,122,48,96,50.0,13,40,32.5,13,16,81.3,7,25,32,32,7,4,9,12,-12
787,CHI,CHI vs. MIN,02/11/2022,,W,240,134,55,87,63.2,14,31,45.2,10,13,76.9,6,37,43,32,6,3,15,15,12
788,SAS,SAS @ ATL,02/11/2022,,W,240,136,50,90,55.6,18,32,56.3,18,21,85.7,5,36,41,37,11,4,14,21,15
789,ATL,ATL vs. SAS,02/11/2022,,L,240,121,47,103,45.6,14,43,32.6,13,15,86.7,17,32,49,28,10,5,14,18,-15
790,BOS,BOS vs. DEN,02/11/2022,,W,240,108,38,96,39.6,10,37,27.0,22,30,73.3,18,36,54,24,13,8,12,20,6
791,DEN,DEN @ BOS,02/11/2022,,L,240,102,39,90,43.3,11,44,25.0,13,18,72.2,12,40,52,23,7,6,21,22,-6
792,IND,IND vs. CLE,02/11/2022,,L,240,113,42,89,47.2,18,38,47.4,11,16,68.8,9,29,38,25,9,4,23,25,-7
793,CLE,CLE @ IND,02/11/2022,,W,240,120,43,81,53.1,9,24,37.5,25,30,83.3,6,26,32,20,12,7,13,16,7
794,DET,DET vs. CHA,02/11/2022,,L,240,119,48,102,47.1,12,35,34.3,11,18,61.1,16,29,45,32,10,6,18,20,-22
795,CHA,CHA @ DET,02/11/2022,,W,240,141,54,97,55.7,18,42,42.9,15,23,65.2,15,36,51,36,13,2,18,22,22
796,OKC,OKC @ PHI,02/11/2022,,L,240,87,35,90,38.9,6,35,17.1,11,12,91.7,11,41,52,21,6,8,16,21,-13
797,PHI,PHI vs. OKC,02/11/2022,,W,240,100,36,93,38.7,7,26,26.9,21,26,80.8,15,40,55,19,7,10,11,16,13
798,DET,DET vs. MEM,02/10/2022,,L,240,107,41,94,43.6,7,35,20.0,18,21,85.7,10,30,40,27,4,7,10,29,-25
799,MEM,MEM @ DET,02/10/2022,,W,240,132,44,92,47.8,15,30,50.0,29,42,69.0,18,42,60,32,6,4,13,23,25
800,MIA,MIA @ NOP,02/10/2022,,W,240,112,39,81,48.1,10,32,31.3,24,28,85.7,11,32,43,25,12,4,14,19,15
801,NOP,NOP vs. MIA,02/10/2022,,L,240,97,36,85,42.4,11,41,26.8,14,16,87.5,12,27,39,19,8,6,17,23,-15
802,GSW,GSW vs. NYK,02/10/2022,,L,240,114,42,91,46.2,15,45,33.3,15,17,88.2,5,33,38,27,4,5,8,24,-2
803,NYK,NYK @ GSW,02/10/2022,,W,240,116,39,90,43.3,14,36,38.9,24,33,72.7,16,35,51,24,3,3,15,18,2
804,MIL,MIL @ PHX,02/10/2022,,L,240,107,40,88,45.5,10,38,26.3,17,25,68.0,11,28,39,18,6,4,14,22,-24
805,PHX,PHX vs. MIL,02/10/2022,,W,240,131,51,90,56.7,9,30,30.0,20,29,69.0,9,34,43,35,10,2,8,22,24
806,DAL,DAL vs. LAC,02/10/2022,,W,240,112,38,78,48.7,13,39,33.3,23,27,85.2,8,33,41,19,4,3,14,23,7
807,LAC,LAC @ DAL,02/10/2022,,L,240,105,39,81,48.1,9,23,39.1,18,25,72.0,4,27,31,24,9,2,10,25,-7
808,TOR,TOR @ HOU,02/10/2022,,W,240,139,53,97,54.6,15,39,38.5,18,22,81.8,14,23,37,25,12,3,12,28,19
809,HOU,HOU vs. TOR,02/10/2022,,L,240,120,43,82,52.4,16,38,42.1,18,30,60.0,13,28,41,25,5,4,21,20,-19
810,WAS,WAS vs. BKN,02/10/2022,,W,240,113,43,85,50.6,11,31,35.5,16,18,88.9,10,31,41,29,7,5,12,23,1
811,BKN,BKN @ WAS,02/10/2022,,L,240,112,39,84,46.4,10,29,34.5,24,28,85.7,12,30,42,19,6,3,10,21,-1
812,CLE,CLE vs. SAS,02/09/2022,,W,240,105,39,82,47.6,9,21,42.9,18,24,75.0,10,41,51,18,8,2,15,12,13
813,SAS,SAS @ CLE,02/09/2022,,L,240,92,38,99,38.4,8,33,24.2,8,11,72.7,15,31,46,24,8,4,13,17,-13
814,UTA,UTA vs. GSW,02/09/2022,,W,240,111,41,89,46.1,17,51,33.3,12,17,70.6,11,41,52,26,3,9,12,16,26
815,GSW,GSW @ UTA,02/09/2022,,L,240,85,28,78,35.9,16,43,37.2,13,17,76.5,3,32,35,17,8,3,13,19,-26
816,MIN,MIN @ SAC,02/09/2022,,L,240,119,44,98,44.9,16,46,34.8,15,18,83.3,6,28,34,28,4,6,10,21,-13
817,SAC,SAC vs. MIN,02/09/2022,,W,240,132,48,93,51.6,12,30,40.0,24,27,88.9,11,40,51,32,4,7,14,19,13
818,POR,POR vs. LAL,02/09/2022,,W,240,107,42,89,47.2,10,32,31.3,13,16,81.3,11,30,41,26,15,3,11,15,2
819,LAL,LAL @ POR,02/09/2022,,L,240,105,41,74,55.4,17,37,45.9,6,13,46.2,3,35,38,29,7,7,21,15,-2
820,OKC,OKC vs. TOR,02/09/2022,,L,240,98,36,87,41.4,14,47,29.8,12,14,85.7,14,31,45,28,11,4,18,17,-19
821,TOR,TOR @ OKC,02/09/2022,,W,240,117,45,88,51.1,13,35,37.1,14,14,100.0,10,35,45,22,9,4,16,16,19
